variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_957	1.87E-01	4.91E-02	4.41E-01	-6.55E-02	8.48E-02	6.24E-02	
group_922	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_921	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_873	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_852	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_851	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_849	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_846	1.87E-01	1.58E-04	3.31E-01	1.59E-01	1.63E-01	7.86E-02	
group_764	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_600	1.87E-01	6.25E-02	6.35E-02	1.97E-01	1.05E-01	1.49E-01	
group_559	1.87E-01	4.80E-03	9.09E-01	-1.48E-02	1.29E-01	9.30E-03	
group_316	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_43	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_7	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_1715	1.81E-01	1.27E-02	4.68E-02	-2.89E-01	1.44E-01	1.60E-01	
group_1095	1.81E-01	1.27E-02	4.68E-02	-2.89E-01	1.44E-01	1.60E-01	
group_888	1.81E-01	1.27E-02	4.68E-02	-2.89E-01	1.44E-01	1.60E-01	
group_699	1.81E-01	1.27E-02	4.68E-02	-2.89E-01	1.44E-01	1.60E-01	
group_340	1.81E-01	1.27E-02	4.68E-02	-2.89E-01	1.44E-01	1.60E-01	
group_308	1.81E-01	3.00E-01	9.33E-01	-9.77E-03	1.15E-01	6.85E-03	
group_1269	1.74E-01	4.97E-01	7.18E-01	-3.68E-02	1.02E-01	2.92E-02	
group_956	1.74E-01	3.70E-05	5.76E-01	6.09E-02	1.09E-01	4.53E-02	
group_460	1.74E-01	4.97E-01	3.67E-01	-1.35E-01	1.49E-01	7.30E-02	
group_52	1.74E-01	2.80E-04	4.30E-01	9.10E-02	1.15E-01	6.38E-02	
group_2041	1.68E-01	7.54E-01	4.60E-02	-3.03E-01	1.51E-01	1.60E-01	
group_1702	1.68E-01	7.54E-01	4.60E-02	-3.03E-01	1.51E-01	1.60E-01	
group_1305	1.68E-01	1.10E-07	2.24E-01	2.38E-01	1.95E-01	9.83E-02	
group_1031	1.68E-01	7.00E-02	2.72E-01	-9.59E-02	8.71E-02	8.87E-02	
group_940	1.68E-01	7.00E-02	2.94E-01	-9.13E-02	8.66E-02	8.49E-02	
group_388	1.68E-01	4.92E-01	3.92E-01	-7.45E-02	8.68E-02	6.92E-02	
sel26_2	1.61E-01	2.88E-03	2.32E-01	-1.52E-01	1.27E-01	9.66E-02	
group_887	1.61E-01	5.67E-01	1.64E-01	-1.98E-01	1.42E-01	1.12E-01	
group_478	1.61E-01	4.86E-04	7.09E-01	-3.66E-02	9.77E-02	3.02E-02	
group_76	1.61E-01	4.86E-04	7.09E-01	-3.66E-02	9.77E-02	3.02E-02	
group_2000	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_1965	1.55E-01	5.65E-01	9.22E-02	-3.07E-01	1.81E-01	1.36E-01	
group_1925	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_1832	1.55E-01	6.48E-01	2.90E-01	-1.53E-01	1.44E-01	8.55E-02	
group_1794	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_1752	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_1297	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_1135	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_1026	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_930	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_903	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_882	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_878	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_856	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_679	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_609	1.55E-01	3.36E-02	4.80E-01	-6.37E-02	8.99E-02	5.72E-02	
group_346	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_234	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_202	1.55E-01	2.54E-06	3.90E-01	1.40E-01	1.63E-01	6.95E-02	
group_2151	1.48E-01	4.75E-01	9.63E-01	5.16E-03	1.12E-01	3.74E-03	
